Gene ID,Mean Expr,log2FC,log2FC SE,p-value,adj. p-value,Gene Symbol
100128006,144,0.125,0.137,0.26,0.45,ARHGAP44-AS1
9936,17,-0.115,0.236,0.26,0.45,CD302
2107,2500,0.0791,0.0743,0.26,0.451,ETF1
10961,2330,-0.0716,0.0666,0.26,0.451,ERP29
7597,393,0.104,0.103,0.26,0.451,ZBTB25
1121,354,-0.11,0.111,0.26,0.451,CHM
51167,167,-0.127,0.14,0.26,0.451,CYB5R4
84920,95.9,-0.139,0.174,0.26,0.451,ALG10
22848,861,-0.0916,0.0885,0.26,0.451,AAK1
25854,96.2,0.135,0.16,0.26,0.451,FAM149A
221710,397,-0.114,0.118,0.26,0.451,SMIM13
84901,734,0.0863,0.0822,0.26,0.451,NFATC2IP
4046,11.8,-0.103,0.238,0.26,0.451,LSP1
26580,315,-0.106,0.107,0.26,0.451,BSCL2
9569,649,-0.09,0.0866,0.261,0.451,GTF2IRD1
64403,233,0.113,0.117,0.261,0.451,CDH24
167838,75.7,0.14,0.18,0.261,0.451,TXLNB
201799,107,0.136,0.161,0.261,0.451,TMEM154
729291,83.7,0.137,0.166,0.261,0.451,NA
124152,113,-0.132,0.152,0.261,0.451,IQCK
102465519,19.8,0.125,0.231,0.261,0.451,MIR6861
8798,397,0.102,0.102,0.261,0.451,DYRK4
729723,41.3,0.14,0.206,0.261,0.451,DNAJC27-AS1
25943,637,-0.0876,0.0839,0.261,0.451,DNAAF9
54816,308,0.114,0.118,0.261,0.452,ZNF280D
65080,631,0.0906,0.0873,0.261,0.452,MRPL44
387104,14.7,-0.112,0.236,0.261,0.452,MTCL3
85021,910,-0.0872,0.0836,0.261,0.452,REPS1
153241,361,0.104,0.103,0.261,0.452,CEP120
23386,1660,0.0817,0.0773,0.261,0.452,NUDCD3
118987,486,-0.101,0.101,0.262,0.452,PDZD8
84968,71.2,0.14,0.182,0.262,0.452,PNMA6A
4904,12700,0.062,0.057,0.262,0.453,YBX1
81875,606,-0.0927,0.09,0.262,0.453,ISG20L2
101929145,51.9,-0.14,0.191,0.262,0.453,PPP3CB-AS1
387882,727,-0.0868,0.0833,0.262,0.453,C12orf75
339751,89,-0.136,0.165,0.262,0.453,MAP3K20-AS1
29990,186,0.118,0.125,0.262,0.453,PILRB
27098,64.5,-0.14,0.186,0.262,0.453,CLUL1
9228,26.7,-0.132,0.223,0.262,0.453,DLGAP2
84033,4120,-0.0865,0.0831,0.262,0.453,OBSCN
27068,1060,-0.14,0.165,0.262,0.453,PPA2
1452,3730,0.0773,0.0728,0.262,0.453,CSNK1A1
2339,1220,-0.0841,0.0806,0.263,0.453,FNTA
26047,176,0.124,0.136,0.263,0.453,CNTNAP2
100533464,117,0.13,0.147,0.263,0.453,NA
401176,17.1,0.113,0.236,0.263,0.454,NA
54732,3550,0.084,0.0802,0.263,0.454,TMED9
51326,200,-0.117,0.123,0.263,0.454,ARL17B; ARL17A
102723961,24.1,0.129,0.226,0.263,0.454,NA
401074,11.4,-0.1,0.237,0.263,0.454,LINC00960
9230,2160,0.0843,0.0806,0.263,0.454,RAB11B
8573,1070,-0.0868,0.0835,0.263,0.454,CASK
494143,21.5,-0.12,0.232,0.263,0.454,CHAC2
55937,160,0.122,0.132,0.263,0.454,APOM
84619,471,0.0969,0.0953,0.263,0.454,ZGPAT
728226,84.3,-0.136,0.166,0.263,0.454,GGTLC3
84440,1270,0.0756,0.0712,0.264,0.454,RAB11FIP4
503693,22.7,-0.127,0.228,0.264,0.454,LOH12CR2
619423,29.2,-0.133,0.22,0.264,0.454,NA
113612,50,-0.139,0.201,0.264,0.454,CYP2U1
105376177,36.1,0.137,0.212,0.264,0.455,NA
7405,555,-0.0918,0.0894,0.264,0.455,UVRAG
100302213,70.2,0.138,0.177,0.264,0.455,MIR1181
23522,864,-0.0836,0.0801,0.264,0.455,KAT6B
100127983,75.2,-0.137,0.174,0.264,0.455,C8orf88
58497,561,-0.0905,0.0881,0.264,0.456,PRUNE1
221443,678,-0.0895,0.0868,0.264,0.456,OARD1
3514,12.4,-0.106,0.237,0.265,0.456,NA
100128881,117,0.13,0.15,0.265,0.456,VPS9D1-AS1
11320,292,-0.114,0.12,0.265,0.456,MGAT4A
4300,918,-0.0813,0.0777,0.265,0.456,MLLT3
152002,445,0.101,0.101,0.265,0.456,XXYLT1
80320,761,-0.0894,0.0869,0.265,0.456,SP6
101735302,38.1,-0.137,0.208,0.265,0.457,STAG3L5P-PVRIG2P-PILRB
10939,3190,0.0649,0.0604,0.265,0.457,AFG3L2
84504,238,-0.111,0.115,0.265,0.457,NKX6-2
22877,762,0.084,0.0806,0.266,0.457,MLXIP
54107,919,-0.0822,0.0788,0.266,0.457,POLE3
79038,781,-0.0846,0.0817,0.266,0.457,ZFYVE21
23507,122,-0.133,0.159,0.266,0.457,LRRC8B
5382,47.4,-0.139,0.198,0.266,0.457,NA
55052,1140,0.0771,0.0734,0.266,0.457,MRPL20
107986986,10.7,-0.0942,0.237,0.266,0.457,NA
100132247,1920,0.0701,0.0658,0.266,0.457,NPIPB5
2567,14.7,-0.11,0.236,0.266,0.457,GABRG3
80111,12.1,-0.102,0.237,0.266,0.458,C3orf36
29080,294,-0.107,0.109,0.266,0.458,CCDC59
387787,99.5,0.132,0.157,0.266,0.458,LIPT2
105372486,26.3,0.129,0.225,0.266,0.458,NA
205428,611,0.0964,0.0955,0.266,0.458,DIPK2A
5571,1390,0.0757,0.0716,0.266,0.458,PRKAG1
80143,885,0.0924,0.0906,0.267,0.458,SIKE1
55177,472,0.0933,0.0916,0.267,0.459,RMDN3
55105,264,-0.115,0.122,0.267,0.459,GPATCH2
107986196,32,-0.134,0.215,0.267,0.459,NA
5395,373,-0.103,0.104,0.267,0.459,PMS2
4215,497,-0.0957,0.095,0.267,0.459,MAP3K3
84957,123,0.128,0.146,0.267,0.459,RELT
8641,463,-0.0949,0.0939,0.267,0.459,PCDHGB4
9611,2140,0.073,0.0691,0.267,0.459,NCOR1
54536,242,0.117,0.126,0.267,0.459,EXOC6
8992,1720,0.0768,0.0729,0.267,0.459,ATP6V0E1
10773,189,-0.126,0.142,0.267,0.459,ZBTB6
132946,13.9,-0.109,0.236,0.267,0.459,ARL9
55975,907,-0.0889,0.0869,0.268,0.459,KLHL7
79369,503,0.0961,0.0954,0.268,0.459,B3GNT4
26773,11.8,-0.101,0.237,0.268,0.46,SNORD4A
100129550,75.5,-0.136,0.171,0.268,0.46,LINC02035
9643,4240,-0.0723,0.0685,0.268,0.46,MORF4L2
2551,559,-0.093,0.0919,0.268,0.46,GABPA
55727,602,-0.091,0.0894,0.268,0.46,BTBD7
7148,260,-0.117,0.126,0.268,0.46,TNXB
112770,767,-0.0852,0.0827,0.268,0.46,GLMP
9760,536,-0.0899,0.0881,0.268,0.46,TOX
613126,9.46,-0.093,0.237,0.268,NA,CYP51A1-AS1
112703,270,0.115,0.123,0.268,0.46,GARIN5A
750,17.6,-0.117,0.232,0.268,0.46,GAS8-AS1
9865,226,-0.116,0.124,0.268,0.46,TRIL
23220,584,-0.0902,0.0885,0.269,0.461,DTX4
51460,267,0.107,0.11,0.269,0.461,SFMBT1
84628,17,0.107,0.236,0.269,0.461,NTNG2
107984311,9.32,0.0926,0.237,0.269,NA,NA
100129726,12.5,-0.104,0.236,0.269,0.461,NA
55846,624,0.0877,0.0853,0.269,0.461,ITFG2
126298,807,0.0827,0.0799,0.269,0.461,IRGQ
178,4490,-0.0904,0.0892,0.27,0.462,AGL
55237,26.7,-0.129,0.223,0.27,0.462,VRTN
105371818,49.8,0.138,0.193,0.27,0.462,NA
54807,118,-0.129,0.151,0.27,0.462,ZNF586
4023,639,-0.0889,0.0873,0.27,0.462,LPL
345895,18.7,-0.118,0.231,0.27,0.462,RSPH4A
6629,734,-0.0882,0.0865,0.27,0.462,SNRPB2
9751,62.3,0.137,0.181,0.27,0.462,SNPH
112849,149,0.122,0.135,0.27,0.462,L3HYPDH
115416,717,0.0838,0.0813,0.27,0.462,MALSU1
4790,494,0.0918,0.0907,0.27,0.462,NFKB1
23753,173,-0.124,0.141,0.27,0.462,SDF2L1
6666,1000,-0.101,0.102,0.27,0.462,SOX12
390928,12.4,-0.104,0.236,0.27,0.463,ACP7
285755,36.1,-0.134,0.211,0.27,0.463,PPIL6
105379057,11.8,0.103,0.236,0.27,0.463,EDIL3-DT
4837,14.8,0.109,0.235,0.27,0.463,NNMT
55119,645,-0.0883,0.0869,0.271,0.463,PRPF38B
26048,267,0.109,0.114,0.271,0.463,ZNF500
7638,49.1,-0.137,0.195,0.271,0.463,ZNF221
4830,386,0.0999,0.1,0.271,0.463,NME1
80006,309,0.109,0.113,0.271,0.463,TRAPPC13
283596,91.2,0.134,0.164,0.271,0.463,SNHG10
10298,1570,-0.0882,0.0868,0.271,0.463,PAK4
4071,80.8,-0.135,0.17,0.271,0.463,TM4SF1
8760,987,-0.0779,0.0751,0.271,0.464,CDS2
10083,63.5,-0.137,0.189,0.271,0.464,USH1C
81848,538,0.0923,0.0915,0.271,0.464,SPRY4
6711,18500,-0.0599,0.055,0.271,0.464,SPTBN1
100526693,685,0.0836,0.0811,0.271,0.464,ARPC4-TTLL3
55343,376,0.098,0.0988,0.272,0.464,SLC35C1
107984485,51.2,-0.137,0.194,0.272,0.464,NA
89122,129,-0.125,0.142,0.272,0.464,TRIM4
11216,510,-0.0945,0.0955,0.272,0.464,AKAP10
4976,1860,0.0891,0.0878,0.272,0.464,OPA1
79858,52.3,-0.137,0.191,0.272,0.464,NEK11
79009,1460,-0.0752,0.0724,0.272,0.464,DDX50
6282,3350,0.0659,0.0623,0.272,0.464,S100A11
132720,83.1,0.135,0.171,0.272,0.464,FAM241A
132332,26.7,-0.128,0.222,0.272,0.464,SMIM43
28956,674,0.0889,0.0877,0.272,0.464,LAMTOR2
101867536,24.8,-0.125,0.225,0.272,0.464,PRNCR1
2801,1890,-0.0712,0.0682,0.272,0.464,GOLGA2
55246,271,-0.106,0.11,0.272,0.465,CCDC25
105372255,10.6,-0.0952,0.236,0.272,0.465,NA
80726,53.8,0.136,0.201,0.272,0.465,IQCN
54964,168,0.118,0.129,0.273,0.465,C1orf56
9731,598,0.0881,0.0866,0.273,0.465,CEP104
55851,1060,-0.0779,0.0755,0.273,0.465,PSENEN
23379,1530,-0.081,0.0788,0.273,0.465,ICE1
113218502,40.4,-0.128,0.221,0.273,0.465,NA
5298,1260,0.0734,0.0704,0.273,0.465,PI4KB
10693,74.5,-0.136,0.199,0.273,0.465,CCT6B
6545,154,0.12,0.134,0.273,0.465,SLC7A4
105375563,18.7,-0.116,0.231,0.273,0.465,REPIN1-AS1
54813,162,0.124,0.14,0.273,0.465,KLHL28
55286,72.8,0.135,0.176,0.273,0.465,PGCKA1
105379154,11.5,0.0995,0.236,0.273,0.466,NA
347853,55.2,0.136,0.19,0.273,0.466,TBX10
729305,17.3,0.115,0.232,0.274,0.466,LINC02714
105373027,14,0.109,0.235,0.274,0.466,NA
101929736,10.6,-0.0948,0.236,0.274,0.466,NA
1512,690,-0.0852,0.0836,0.274,0.466,CTSH
54896,346,0.099,0.101,0.274,0.466,SLC66A1
11282,2510,-0.0734,0.0705,0.274,0.466,MGAT4B
480,34.2,-0.13,0.218,0.274,0.466,ATP1A4
9108,81.2,-0.134,0.173,0.274,0.467,MTMR7
105371414,39.1,-0.134,0.206,0.274,0.467,NA
10291,2370,-0.0737,0.0711,0.274,0.467,SF3A1
60313,1540,-0.0708,0.0679,0.274,0.467,GPBP1L1
112267988,12.8,-0.104,0.235,0.274,0.467,NA
105374101,15.8,0.112,0.233,0.274,0.467,NA
340359,139,0.122,0.139,0.274,0.467,KLHL38
3038,174,0.119,0.131,0.274,0.467,HAS3
64409,386,-0.1,0.103,0.275,0.467,GALNT17
4335,816,0.0914,0.0909,0.275,0.467,MNT
100507073,14.2,-0.108,0.234,0.275,0.467,NA
51538,809,0.0828,0.0812,0.275,0.467,ZCCHC17
65084,968,-0.101,0.104,0.275,0.467,TMEM135
51201,400,-0.116,0.127,0.275,0.467,ZDHHC2
84889,12.8,-0.103,0.235,0.275,0.468,SLC7A3
3062,9.77,-0.0938,0.236,0.275,NA,HCRTR2
100534599,406,-0.0977,0.0996,0.275,0.468,ISY1-RAB43
29785,713,0.0901,0.0901,0.275,0.468,CYP2S1
10960,2270,0.0748,0.0724,0.275,0.468,LMAN2
64101,103,0.131,0.159,0.275,0.468,LRRC4
105372485,20.5,0.121,0.229,0.275,0.468,NA
5228,217,-0.113,0.123,0.276,0.468,PGF
55036,102,0.131,0.162,0.276,0.469,CCDC40
129530,24,-0.125,0.224,0.276,0.469,LYG1
9764,456,0.0921,0.0924,0.276,0.469,KIAA0513
683,45.8,-0.134,0.207,0.276,0.469,BST1
101928415,34.6,0.132,0.212,0.276,0.469,NA
22908,792,-0.0868,0.0862,0.276,0.469,SACM1L
100288748,12,0.097,0.236,0.276,0.469,NA
285636,417,-0.105,0.11,0.276,0.469,RIMOC1
79718,831,-0.0977,0.1,0.276,0.469,TBL1XR1
7755,307,0.108,0.113,0.276,0.469,ZNF205
5883,284,-0.105,0.11,0.277,0.469,RAD9A
79654,647,0.0905,0.0906,0.277,0.47,HECTD3
166647,1150,-0.0766,0.0746,0.277,0.47,ADGRA3
51061,481,0.0982,0.1,0.277,0.47,TXNDC11
57669,602,-0.0895,0.0897,0.277,0.47,EPB41L5
1310,14.6,-0.109,0.233,0.277,0.47,COL19A1
23108,789,0.0808,0.0793,0.277,0.47,RAP1GAP2
101928079,79.4,0.132,0.168,0.277,0.47,SLC44A3-AS1
55676,607,-0.0951,0.0967,0.277,0.47,SLC30A6
6191,20600,0.0608,0.0578,0.277,0.47,RPS4X
221785,528,0.0896,0.0896,0.277,0.47,ZSCAN25
55213,411,-0.103,0.108,0.277,0.471,RCBTB1
5007,1210,0.0776,0.0758,0.277,0.471,OSBP
116969,66.7,-0.134,0.179,0.278,0.471,ART5
5090,563,-0.0922,0.0931,0.278,0.471,PBX3
101927864,240,-0.109,0.117,0.278,0.471,NA
286262,523,-0.0965,0.0989,0.278,0.471,TPRN
283989,420,0.0962,0.0984,0.278,0.471,TSEN54
51629,2320,0.0766,0.0745,0.278,0.471,SLC25A39
10273,1230,0.0782,0.0766,0.278,0.471,STUB1
5332,507,-0.0985,0.101,0.278,0.471,PLCB4
26354,1130,-0.0779,0.0764,0.278,0.471,GNL3
79815,314,0.104,0.108,0.278,0.471,NIPAL2
345930,9.42,-0.0899,0.236,0.279,NA,ECT2L
109910380,748,-0.0861,0.0859,0.279,0.472,NA
22913,4420,0.0768,0.0752,0.279,0.472,RALY
29914,464,0.0911,0.0918,0.279,0.472,UBIAD1
5594,2290,-0.0742,0.0723,0.279,0.472,MAPK1
441455,10.9,-0.0946,0.236,0.279,0.472,NA
3770,21.6,-0.12,0.227,0.279,0.472,KCNJ14
144097,755,-0.0944,0.096,0.279,0.472,SPINDOC
1787,153,-0.124,0.146,0.279,0.472,TRDMT1
128312,14,0.106,0.234,0.279,0.472,H2BC26
144455,149,0.121,0.138,0.279,0.472,E2F7
729683,47.1,0.135,0.196,0.279,0.472,NA
9886,250,-0.107,0.113,0.279,0.473,RHOBTB1
51642,423,0.0942,0.0959,0.279,0.473,MRPL48
85460,564,-0.0884,0.0888,0.279,0.473,ZNF518B
5906,671,-0.0836,0.0831,0.279,0.473,RAP1A
112267960,41.5,0.133,0.207,0.28,0.473,NA
641518,24,0.124,0.223,0.28,0.473,LEF1-AS1
2296,42.7,0.133,0.206,0.28,0.473,FOXC1
7786,472,0.0926,0.0939,0.28,0.473,MAP3K12
9050,186,0.115,0.128,0.28,0.473,PSTPIP2
2152,278,0.103,0.108,0.28,0.473,F3
55644,513,-0.0923,0.0939,0.28,0.473,OSGEP
55239,619,0.0858,0.0855,0.28,0.474,OGFOD1
101927330,33.1,0.131,0.212,0.28,0.474,NA
407043,24.7,-0.125,0.222,0.28,0.474,MIR7-1
220323,82.7,-0.13,0.165,0.281,0.474,OAF
92597,618,0.107,0.115,0.281,0.474,MOB1B
9989,1690,-0.0745,0.073,0.281,0.474,PPP4R1
8644,35.8,-0.132,0.208,0.281,0.474,AKR1C3
51503,1080,-0.0759,0.0747,0.281,0.474,CWC15
9762,427,-0.0963,0.0992,0.281,0.475,LZTS3
152195,16.1,0.11,0.232,0.281,0.475,NUDT16L2P
3131,56.8,-0.134,0.187,0.281,0.475,HLF
55693,25.9,-0.124,0.222,0.281,0.475,KDM4D
145694,302,-0.104,0.11,0.281,0.475,KIF23-AS1
81556,624,-0.0882,0.089,0.281,0.475,INTS14
100507436,169,0.118,0.132,0.281,0.475,MICA
105371441,24.8,-0.122,0.224,0.281,0.475,NA
388282,20.4,0.117,0.229,0.281,0.475,NA
55859,1410,0.0721,0.0703,0.282,0.475,BEX1
4212,1650,0.0708,0.0689,0.282,0.475,MEIS2
55762,292,-0.103,0.109,0.282,0.475,ZNF701
54953,367,-0.107,0.115,0.282,0.475,ODR4
100506368,28.7,-0.127,0.217,0.282,0.476,FZD4-DT
222194,303,-0.106,0.113,0.282,0.476,RSBN1L
114795,151,0.119,0.134,0.282,0.476,TMEM132B
100505771,54,0.134,0.19,0.282,0.476,MHENCR
79641,981,0.0823,0.082,0.282,0.476,ROGDI
79269,608,-0.0889,0.0901,0.282,0.476,DCAF10
152641,29.6,0.128,0.217,0.282,0.476,WWC2-AS2
107986556,12.7,-0.1,0.234,0.282,0.476,NA
5919,516,0.0925,0.0946,0.283,0.476,RARRES2
79846,15.8,0.108,0.233,0.283,0.477,CFAP69
100288778,594,0.0889,0.09,0.283,0.477,WASH8P
257364,738,-0.0808,0.0805,0.283,0.477,SNX33
654254,23.7,-0.121,0.225,0.283,0.477,ZNF732
100133286,59.8,0.133,0.183,0.283,0.477,NA
53635,2360,0.077,0.0762,0.283,0.477,PTOV1
90488,748,-0.101,0.107,0.283,0.477,TMEM263
100874068,30.9,0.129,0.214,0.283,0.477,NA
51377,347,-0.109,0.118,0.283,0.477,UCHL5
57721,433,-0.0962,0.0998,0.283,0.477,METTL14
8021,1090,0.0756,0.0747,0.283,0.477,NUP214
7473,250,0.107,0.114,0.283,0.477,WNT3
399717,23.9,0.122,0.224,0.283,0.477,GATA3-AS1
56683,277,-0.104,0.11,0.283,0.477,CFAP298
2676,13.1,-0.102,0.234,0.284,0.477,GFRA3
1080,72.8,-0.131,0.172,0.284,0.477,CFTR
102723729,11.6,-0.0981,0.234,0.284,0.478,NA
9290,19.8,-0.114,0.229,0.284,0.478,GPR55
79600,277,0.105,0.113,0.284,0.478,TCTN1
158801,20.7,-0.119,0.226,0.284,0.478,NKAPP1
220979,274,-0.104,0.111,0.284,0.478,ZNF22-AS1
9841,184,0.115,0.129,0.284,0.478,ZBTB24
947,16.7,-0.111,0.231,0.284,0.478,CD34
105374187,11.3,-0.0961,0.235,0.284,0.478,NA
133482,9.06,-0.0849,0.235,0.284,NA,SLCO6A1
107985388,90.1,0.129,0.162,0.284,0.478,NA
143689,214,-0.113,0.126,0.284,0.478,PIWIL4
107985353,157,0.121,0.141,0.284,0.478,NA
4946,5780,-0.0707,0.0694,0.284,0.478,OAZ1
140459,602,0.0906,0.0931,0.284,0.478,ASB6
79169,274,0.107,0.115,0.284,0.478,C1orf35
23380,680,-0.0865,0.0877,0.285,0.478,SRGAP2
100996541,20.8,0.117,0.228,0.285,0.478,NA
100271874,81,0.131,0.169,0.285,0.478,NA
23171,483,-0.0939,0.097,0.285,0.478,GPD1L
1608,14.3,-0.103,0.233,0.285,0.478,DGKG
389524,755,-0.0875,0.089,0.285,0.479,GTF2IRD2B
54539,2350,0.0762,0.0755,0.285,0.479,NDUFB11
414189,165,0.116,0.131,0.285,0.479,AGAP6
64766,477,-0.104,0.111,0.285,0.479,S100PBP
5527,2270,-0.0683,0.0669,0.285,0.479,PPP2R5C
93973,880,-0.0806,0.0807,0.285,0.479,ACTR8
440279,16.7,-0.111,0.231,0.285,0.479,UNC13C
23371,275,-0.11,0.122,0.285,0.479,TNS2
677814,20,-0.116,0.228,0.285,0.479,SNORA31
4659,1330,-0.0816,0.0821,0.285,0.479,PPP1R12A
311,2310,0.0699,0.0687,0.286,0.479,ANXA11
29767,138,-0.123,0.147,0.286,0.479,TMOD2
100874113,75.3,-0.13,0.171,0.286,0.479,NA
9862,1600,0.076,0.0754,0.286,0.479,MED24
3775,206,-0.111,0.123,0.286,0.479,KCNK1
83394,267,-0.108,0.117,0.286,0.48,PITPNM3
10188,1260,0.0866,0.0876,0.286,0.48,TNK2
3915,9540,0.0568,0.0562,0.286,0.48,LAMC1
130827,54.4,-0.132,0.192,0.286,0.48,TMEM182
105374952,45.2,0.132,0.197,0.286,0.48,NA
112267904,8.73,-0.0812,0.235,0.286,NA,NA
92521,689,0.0825,0.083,0.286,0.48,SPECC1
223117,260,-0.109,0.119,0.286,0.48,SEMA3D
100506885,10.1,-0.0921,0.235,0.286,NA,LNC-LBCS
2959,703,0.0873,0.0892,0.286,0.48,GTF2B
2159,141,0.119,0.139,0.287,0.481,F10
100127888,35.6,0.129,0.21,0.287,0.481,SLCO4A1-AS1
843,10.1,-0.0925,0.235,0.287,NA,CASP10
9308,61.2,-0.132,0.182,0.287,0.481,CD83
56920,31.2,-0.127,0.215,0.287,0.481,SEMA3G
132299,370,-0.0975,0.102,0.287,0.481,OCIAD2
203427,52.5,0.132,0.19,0.287,0.481,SLC25A43
10468,82.3,0.129,0.165,0.287,0.481,FST
105370532,11.6,-0.0969,0.234,0.287,0.481,NA
10451,25.8,-0.122,0.222,0.287,0.481,VAV3
27327,1250,-0.0715,0.0708,0.287,0.481,TNRC6A
89891,406,0.103,0.11,0.287,0.481,DYNC2I2
103611081,53.2,0.132,0.19,0.287,0.481,NA
5863,1870,0.0698,0.0688,0.288,0.482,RGL2
100129940,37.2,-0.13,0.206,0.288,0.482,HMGA2-AS1
440193,424,0.0925,0.0957,0.288,0.482,CCDC88C
5833,1050,-0.0826,0.0837,0.288,0.482,PCYT2
22795,4470,-0.0643,0.0631,0.288,0.482,NID2
79783,123,0.124,0.15,0.288,0.482,SUGCT
5016,62.5,-0.131,0.179,0.288,0.482,OVGP1
63905,941,-0.0768,0.077,0.288,0.482,MANBAL
109729181,116,0.123,0.147,0.288,0.482,ZNF710-AS1
114134,154,-0.118,0.136,0.288,0.482,SLC2A13
84820,322,-0.102,0.109,0.288,0.482,POLR2J4; RASA4CP
102465874,12.2,0.0982,0.234,0.288,0.482,MIR8075
116842,21.3,0.114,0.228,0.288,0.483,LEAP2
114900,64.9,0.132,0.19,0.289,0.483,C1QTNF4
829,1960,-0.083,0.0844,0.289,0.483,CAPZA1
83786,439,0.0993,0.106,0.289,0.483,FRMD8
9970,41.7,0.131,0.201,0.289,0.483,NR1I3
9270,1200,-0.0737,0.0735,0.289,0.483,ITGB1BP1
79827,150,-0.119,0.139,0.289,0.483,CLMP
107984263,32.4,0.127,0.214,0.289,0.483,NA
90576,105,-0.124,0.153,0.289,0.483,ZNF799
10845,1250,-0.0758,0.0759,0.289,0.483,CLPX
286128,244,0.108,0.119,0.289,0.483,ZFP41
112483,859,-0.0777,0.0782,0.289,0.484,SAT2
26234,1070,-0.0865,0.0888,0.29,0.484,FBXL5
100506286,17.9,-0.11,0.23,0.29,0.484,TBC1D8-AS1
89890,184,-0.113,0.128,0.29,0.484,KBTBD6
6688,8.26,-0.0812,0.235,0.29,NA,SPI1
23275,773,0.0783,0.0786,0.29,0.484,POFUT2
9469,430,0.096,0.101,0.29,0.484,CHST3
107985648,23.8,-0.116,0.226,0.29,0.484,NA
105379508,12.5,0.0994,0.234,0.29,0.484,NA
105373077,18.9,-0.114,0.228,0.29,0.484,NA
55905,1460,0.0717,0.0714,0.29,0.484,RNF114
132001,154,0.118,0.138,0.29,0.484,TAMM41
56105,112,-0.122,0.147,0.29,0.484,PCDHGA11
102724190,8.82,0.0864,0.235,0.29,NA,LINC02289
3364,320,-0.101,0.109,0.29,0.484,HUS1
7185,208,0.108,0.119,0.29,0.484,TRAF1
10677,136,-0.119,0.139,0.29,0.484,AVIL
11190,1200,-0.0824,0.084,0.29,0.484,CEP250
6307,459,-0.118,0.223,0.29,0.484,MSMO1
56890,235,-0.11,0.123,0.29,0.484,MDM1
1032,75.3,0.129,0.171,0.29,0.484,CDKN2D
55278,586,0.0856,0.0877,0.29,0.484,QRSL1
4854,6910,0.0801,0.0809,0.29,0.484,NOTCH3
392,2700,0.0704,0.0703,0.29,0.484,ARHGAP1
554235,25.3,0.122,0.22,0.291,0.485,ASPDH
10159,1320,0.0799,0.0807,0.291,0.485,ATP6AP2
3787,9.13,-0.0831,0.235,0.291,NA,KCNS1
56922,1040,-0.0747,0.0751,0.291,0.485,MCCC1
23195,1000,0.075,0.0753,0.291,0.485,MDN1
100302650,86.1,0.127,0.162,0.291,0.485,NA
102724398,45.2,0.131,0.198,0.291,0.485,LINC00319
343702,212,-0.108,0.12,0.291,0.485,XKR7
84311,1330,-0.0802,0.0815,0.291,0.485,MRPL45
130502,129,0.122,0.148,0.291,0.485,TTC32
340542,19.2,-0.114,0.227,0.291,0.485,BEX5
647135,258,0.104,0.113,0.291,0.485,SRGAP2B
54969,274,-0.113,0.129,0.291,0.485,HPF1
129685,495,-0.0876,0.0906,0.291,0.485,TAF8
599,1070,0.0747,0.0751,0.291,0.485,BCL2L2
10075,5080,0.0638,0.0624,0.291,0.485,HUWE1
26986,11900,-0.0629,0.0617,0.291,0.485,PABPC1
3140,23,0.116,0.226,0.291,0.485,MR1
96764,374,-0.0961,0.102,0.291,0.485,TGS1
440574,1420,-0.0699,0.0697,0.291,0.485,MICOS10
113451,62.2,0.13,0.182,0.292,0.485,AZIN2
107984347,117,0.122,0.147,0.292,0.486,NA
7799,907,-0.0769,0.0776,0.292,0.486,PRDM2
23542,22.9,-0.118,0.224,0.292,0.486,MAPK8IP2
648740,85.5,0.128,0.166,0.292,0.486,NA
256764,252,-0.115,0.133,0.292,0.486,WDR72
201895,347,0.0983,0.105,0.292,0.486,SMIM14
27315,650,0.0822,0.0836,0.292,0.486,PGAP2
56271,918,0.0748,0.0752,0.292,0.486,BEX4
83869,142,-0.118,0.139,0.292,0.486,TTTY14
728024,14.8,0.0991,0.233,0.292,0.486,NA
101927872,22.8,0.119,0.223,0.292,0.486,NA
23060,1200,-0.0714,0.0715,0.292,0.486,ZNF609
407975,42.1,-0.129,0.2,0.292,0.486,MIR17HG
388336,57,-0.13,0.188,0.292,0.486,SHISA6
3799,2010,-0.0755,0.0762,0.292,0.486,KIF5B
282969,249,0.109,0.122,0.293,0.486,FUOM
54760,64.7,-0.13,0.187,0.293,0.486,PCSK4
4893,856,-0.0859,0.0889,0.293,0.486,NRAS
2675,19.7,-0.111,0.229,0.293,0.486,GFRA2
10785,103,0.124,0.153,0.293,0.486,WDR4
619570,12.8,0.0998,0.233,0.293,0.487,SNORD95
107985567,39.6,-0.129,0.203,0.293,0.487,NA
100506100,39.8,-0.128,0.206,0.293,0.487,NA
36,692,-0.0819,0.0839,0.293,0.487,ACADSB
25777,705,-0.0881,0.0916,0.293,0.487,SUN2
219854,151,0.116,0.134,0.293,0.487,TMEM218
10360,583,-0.0959,0.101,0.293,0.487,NPM3
9942,74.1,0.129,0.172,0.293,0.487,XYLB
123036,122,-0.129,0.17,0.293,0.487,TC2N
654320,27.2,-0.122,0.218,0.293,0.487,SNORA8
117246,1130,0.0797,0.0812,0.294,0.488,FTSJ3
51131,89.8,0.126,0.162,0.295,0.489,PHF11
51339,695,0.0795,0.0809,0.295,0.489,DACT1
54502,455,-0.0884,0.0923,0.295,0.489,RBM47
5886,1790,0.0814,0.0835,0.295,0.489,RAD23A
644353,56.4,-0.129,0.19,0.295,0.489,ZCCHC18
