ID,Description,p.adjust,k,stability,selected,collection,consensus,keep_final,tier
GO:1905818,regulation of chromosome separation,3.8183664719700625e-7,17,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0014706,striated muscle tissue development,1.3110971265838911e-6,46,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0008015,blood circulation,4.668539688740115e-6,50,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0045787,positive regulation of cell cycle,1.2085985748357917e-5,35,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0051276,chromosome organization,1.2085985748357917e-5,48,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0034113,heterotypic cell-cell adhesion,3.2060304431733614e-5,13,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0003228,atrial cardiac muscle tissue development,4.38831544227898e-5,9,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0003229,ventricular cardiac muscle tissue development,8.782886287764644e-5,15,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0003012,muscle system process,9.280360167848615e-5,41,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0140694,membraneless organelle assembly,1.3834632389873148e-4,35,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0045132,meiotic chromosome segregation,2.7439137808211945e-4,12,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0044772,mitotic cell cycle phase transition,8.009710776371721e-4,37,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0051225,spindle assembly,0.00216126041908407,14,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0090329,regulation of DNA-templated DNA replication,0.00216243663267415,8,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0007517,muscle organ development,0.00291244734882755,30,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0045216,cell-cell junction organization,0.00400938877209918,23,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0044839,cell cycle G2/M phase transition,0.00405584149597198,17,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0055013,cardiac muscle cell development,0.00457756484486026,13,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0006959,humoral immune response,0.00473829682280454,18,0,FALSE,GO,FALSE,FALSE,Not kept
