ID,Description,GeneRatio,BgRatio,p-value,adj. p-value
WP2516,ATM signaling,8/1363,35/6992,0.371,0.75
WP3863,T cell antigen receptor TCR pathway during Stap...,10/1363,45/6992,0.378,0.755
WP3878,ATM signaling in development and disease ,10/1363,45/6992,0.378,0.755
WP107,Translation factors,11/1363,50/6992,0.381,0.755
WP304,Kit receptor signaling,11/1363,50/6992,0.381,0.755
WP4872,MAP3K1 role in promoting and blocking gonadal d...,4/1363,16/6992,0.382,0.755
WP4912,SARS coronavirus and innate immunity,4/1363,16/6992,0.382,0.755
WP4969,RAS and bradykinin pathways in COVID 19,4/1363,16/6992,0.382,0.755
WP4255,Non small cell lung cancer,15/1363,70/6992,0.387,0.762
WP4674,Head and neck squamous cell carcinoma,15/1363,70/6992,0.387,0.762
WP3872,Apoptosis regulation by parathyroid hormone rel...,5/1363,21/6992,0.391,0.763
WP4197,Immune response to tuberculosis,5/1363,21/6992,0.391,0.763
WP5432,Omega 3 fatty acids in senescence,5/1363,21/6992,0.391,0.763
WP4900,Purinergic signaling,6/1363,26/6992,0.397,0.772
WP524,G13 signaling,8/1363,36/6992,0.404,0.778
WP2332,IL11 signaling,9/1363,41/6992,0.406,0.778
WP5408,15q25 copy number variation,9/1363,41/6992,0.406,0.778
WP363,Wnt signaling NetPath,10/1363,46/6992,0.407,0.778
WP4566,Translation inhibitors in chronically activated...,10/1363,46/6992,0.407,0.778
WP4747,Netrin UNC5B signaling,10/1363,46/6992,0.407,0.778
WP585,Interferon type I signaling,11/1363,51/6992,0.408,0.778
WP5205,Clock controlled autophagy in bone metabolism,15/1363,71/6992,0.41,0.778
WP2064,Neural crest differentiation,16/1363,76/6992,0.41,0.778
WP1423,Ganglio sphingolipid metabolism,3/1363,12/6992,0.424,0.793
WP4522,Metabolic pathway of LDL HDL and TG including d...,3/1363,12/6992,0.424,0.793
WP5066,FOXA2 pathway,3/1363,12/6992,0.424,0.793
WP5149,Lipid metabolism in senescent cells,3/1363,12/6992,0.424,0.793
WP5318,Female steroid hormones in cardiomyocyte energy...,3/1363,12/6992,0.424,0.793
WP710,DNA damage response only ATM dependent ,20/1363,97/6992,0.43,0.794
WP4259,Disorders of folate metabolism and transport,4/1363,17/6992,0.43,0.794
WP5027,nsp1 from SARS CoV 2 inhibits translation initi...,4/1363,17/6992,0.43,0.794
WP5101,Congenital generalized lipodystrophy,4/1363,17/6992,0.43,0.794
WP5398,NRXN1 deletion syndrome,4/1363,17/6992,0.43,0.794
WP5145,COVID 19 structural coverage map,5/1363,22/6992,0.433,0.794
WP2363,Gastric cancer network 2,6/1363,27/6992,0.435,0.794
WP5121,Sphingolipid metabolism in senescence,6/1363,27/6992,0.435,0.794
WP4971,Phosphoinositides metabolism,10/1363,47/6992,0.436,0.794
WP28,Selenium metabolism and selenoproteins,9/1363,42/6992,0.436,0.794
WP2853,Endoderm differentiation,23/1363,113/6992,0.446,0.81
WP3931,Embryonic stem cell pluripotency pathways,20/1363,98/6992,0.45,0.814
WP4746,Thyroid hormones production and peripheral down...,16/1363,78/6992,0.455,0.822
WP4949,16p11 2 proximal deletion syndrome,14/1363,68/6992,0.458,0.825
WP2003,miR targeted genes in leukocytes,25/1363,124/6992,0.461,0.829
WP2267,Synaptic vesicle pathway,10/1363,48/6992,0.464,0.829
WP5072,Modulators of TCR signaling and T cell activation,10/1363,48/6992,0.464,0.829
WP5039,SARS CoV 2 innate immunity evasion and cell spe...,9/1363,43/6992,0.466,0.829
WP4917,Proximal tubule transport,8/1363,38/6992,0.468,0.829
WP244,Alpha 6 beta 4 signaling,7/1363,33/6992,0.47,0.829
WP4880,Host pathogen interaction of human coronaviruse...,7/1363,33/6992,0.47,0.829
WP5502,16p13 11 copy number variation syndrome ,6/1363,28/6992,0.472,0.829
WP4553,FBXL10 enhancement of MAP ERK signaling in diff...,4/1363,18/6992,0.477,0.829
WP5074,Kallmann syndrome,4/1363,18/6992,0.477,0.829
WP4262,Breast cancer pathway,26/1363,130/6992,0.477,0.829
WP2023,Cell differentiation expanded index,3/1363,13/6992,0.48,0.829
WP4724,Omega 9 fatty acid synthesis,3/1363,13/6992,0.48,0.829
WP5299,Ganglio series sphingolipid metabolism,3/1363,13/6992,0.48,0.829
WP5314,Lactate shuttle in glial cells,3/1363,13/6992,0.48,0.829
WP692,Sulfation biotransformation reaction,3/1363,13/6992,0.48,0.829
WP231,TNF alpha signaling,17/1363,85/6992,0.497,0.857
WP314,Fas ligand pathway and stress induction of heat...,8/1363,39/6992,0.5,0.86
WP4698,Vitamin D sensitive calcium signaling in depres...,7/1363,34/6992,0.504,0.863
WP4823,Genes controlling nephrogenesis,7/1363,34/6992,0.504,0.863
WP4786,Type I collagen synthesis in the context of ost...,6/1363,29/6992,0.509,0.87
WP4658,Small cell lung cancer,18/1363,91/6992,0.515,0.873
WP3658,Wnt beta catenin signaling in leukemia,5/1363,24/6992,0.515,0.873
WP4304,Oligodendrocyte specification and differentiati...,5/1363,24/6992,0.515,0.873
WP167,Eicosanoid synthesis,4/1363,19/6992,0.523,0.873
WP262,Ebstein Barr virus LMP1 signaling,4/1363,19/6992,0.523,0.873
WP4206,Hereditary leiomyomatosis and renal cell carcin...,4/1363,19/6992,0.523,0.873
WP4721,Eicosanoid metabolism via lipooxygenases LOX ,4/1363,19/6992,0.523,0.873
WP4864,Host pathogen interaction of human coronaviruse...,4/1363,19/6992,0.523,0.873
WP5376,17p13 3 YWHAE copy number variation,4/1363,19/6992,0.523,0.873
WP410,Exercise induced circadian regulation,9/1363,45/6992,0.526,0.876
WP4321,Thermogenesis,20/1363,102/6992,0.529,0.877
WP5085,Vasopressin regulated water reabsorption,8/1363,40/6992,0.531,0.877
WP22,IL9 signaling,3/1363,14/6992,0.533,0.877
WP3935,Leptin insulin signaling overlap,3/1363,14/6992,0.533,0.877
WP4504,Cysteine and methionine catabolism,3/1363,14/6992,0.533,0.877
WP5475,Hallmark of cancer sustaining proliferative sig...,18/1363,92/6992,0.535,0.878
WP1471,Target of rapamycin signaling,7/1363,35/6992,0.538,0.878
WP2036,TNF related weak inducer of apoptosis TWEAK sig...,7/1363,35/6992,0.538,0.878
WP170,Nuclear receptors,6/1363,30/6992,0.545,0.882
WP3981,miRNA regulation of prostate cancer signaling,6/1363,30/6992,0.545,0.882
WP3995,Prion disease pathway,6/1363,30/6992,0.545,0.882
WP5269,Genetic causes of porto sinusoidal vascular dis...,6/1363,30/6992,0.545,0.882
WP437,EGF EGFR signaling,30/1363,155/6992,0.551,0.887
WP4787,Osteoblast differentiation and related diseases,19/1363,98/6992,0.552,0.887
WP4336,ncRNAs in Wnt signaling in hepatocellular carci...,14/1363,72/6992,0.552,0.887
WP26,S1P receptor signal transduction,5/1363,25/6992,0.554,0.889
WP3932,Focal adhesion PI3K Akt mTOR signaling,50/1363,259/6992,0.557,0.891
WP4223,Ras signaling,30/1363,156/6992,0.566,0.899
