GeneID,meanExpr,log2FC,log2FC SE,p-value,adj. p-value
HLA-DRB5,32.0689789200911,2.17985505486996,0.605041648427012,1.13445233347326e-05,0.00357478535303353
OTOS,24.9556368365108,2.66613243604943,0.746581873915597,1.17400770507371e-05,0.00363216638355169
TMEM38A,717.322642571297,-1.35230293575814,0.370702596443662,1.19823001564565e-05,0.00364090749039758
PKN1,1256.47438265473,1.15243874316196,0.317829916409148,1.30296625697986e-05,0.00388969716294199
DNALI1,217.46851609823,1.13284340819995,0.315639246321238,1.64217132527244e-05,0.00471265785705163
LOC105376360,78.7256800098779,-2.4062962630234,0.687929393187889,1.64630623443269e-05,0.00471265785705163
VSIG4,222.601270141113,3.15846092323992,0.909269356418809,1.69477884384537e-05,0.00471265785705163
IL18R1,9.8233603789392,2.92055297439236,0.801598682651464,1.70171770728507e-05,NA
ZNF395,532.177982010627,0.764483264764959,0.208027910242526,1.70675030973596e-05,0.00471265785705163
SERPINA1,127.760889836877,3.24794354726387,0.936043023607403,1.71711793098966e-05,0.00471265785705163
CACNA1S,22.9709390759182,-2.40217398254229,0.674002621799748,1.75840486745817e-05,0.00474936781343939
FRMPD2,213.925764207387,-1.68843427008059,0.483940987552411,1.9420658629478e-05,0.00516346761311247
SERPING1,615.44250417475,1.31965660426222,0.376627421169646,2.05917143616147e-05,0.00539059402426517
EMP1,335.784236441098,2.42245654864546,0.707066454123828,2.11593644568303e-05,0.00545526887268825
NKAIN2,999.665995050139,-0.884147193491357,0.24769839048642,2.1522502122682e-05,0.00546607307641129
LOC107984079,11.0271451480608,2.22692691111108,0.638020485437593,2.39505066760703e-05,0.00599326208235313
RAC2,49.4649206881382,2.80188521763508,0.826305243949942,2.52312838777866e-05,0.00614380947312559
LONRF3,190.046984968301,0.981058413573143,0.279787931870081,2.52742514761866e-05,0.00614380947312559
TGFB2-OT1,135.519162270953,1.27345561104247,0.374000918823715,2.87524463314959e-05,0.00689086798277091
GLP1R,21.0513167122253,2.32171393750992,0.683245461361222,2.95105246132667e-05,0.00697432065026869
TNXB,156.943371080701,0.92915473797082,0.268946997720157,3.23334899686786e-05,0.0074603893238977
SERPINE1,54.3049867083193,3.44937718433923,1.04443776181327,3.24441002567248e-05,0.0074603893238977
LINC01643,61.4191711380762,-1.68111896971802,0.503870920090883,3.52849975569961e-05,0.00793343986685806
S100A6,903.986285008158,0.944490469595568,0.276303556693095,3.55913201621912e-05,0.00793343986685806
F11-AS1,15.4967726885213,2.05728676651249,0.609932627152613,3.59000276062571e-05,0.00793343986685806
AHNAK,4640.08161946324,1.64989568819431,0.49636715681149,3.92153758376718e-05,0.00855498506735672
SNORD3A,54.6161221040151,2.85362823987707,0.886100162595728,3.98646991364906e-05,0.00858655342413322
NEUROD6,630.842751154594,-1.26497297421936,0.382313397459929,4.16123996854166e-05,0.00884783930973509
XKR7,117.760421847168,-0.779021018332862,0.227599514635973,4.21177118058617e-05,0.00884783930973509
FBXO9,916.012023629338,-1.42561898681683,0.436510269964979,4.48057962865535e-05,0.00917208842298584
NBPF3,70.03460936812,-1.11423076824249,0.334982542566923,4.56931373763713e-05,0.00917208842298584
PLA1A,47.1518836097747,2.58732085216982,0.811179176701431,4.58548559627707e-05,0.00917208842298584
PYGL,166.960761311723,1.55384692727073,0.478524517820221,4.62497667997729e-05,0.00917208842298584
NCALD,3247.83967621032,-0.982793273652583,0.295395461334549,4.63563472247757e-05,0.00917208842298584
