,GSM3673216,GSM3673217,GSM3673218,GSM3673219,GSM3673220,GSM3673221,GSM3673222,GSM3673223
CHD5,12.3038764702961,10.9059131249575,11.6783896914428,12.0521815145978,11.6040462518257,11.3886462562664,11.0310576304712,11.6086906470586
RPL22,10.8534396911457,11.9717885569862,11.4939730325266,11.2549571951233,12.1636178217251,11.7973723854346,11.9273500402108,11.9683993204783
LOC107985733,4.59406644779961,3.78276411547263,4.05548117213059,5.10200574693708,4.32012619724332,4.35851806731345,4.50656126841671,5.57241627917797
RNF207,5.01645745611094,4.33235615463751,4.6615853417255,4.80700137323108,5.13566064771983,4.29758093246055,4.9485783674235,4.19931491579348
ICMT,9.9400830512228,9.54315361643335,9.52764744732983,9.94696984784593,9.84453589734942,9.2906820653169,9.79421836822553,9.62385715766563
GPR153,8.74713252759971,8.39931831402832,9.17144002035442,8.27534825088213,10.1921229078099,8.43944293534054,9.3656828586744,7.64364400993257
ACOT7,11.4182013716877,10.6275932770311,11.8181443747118,11.7776260121372,10.9518156126257,11.1412475272803,10.6987303738149,11.2619539457973
TNFRSF25,4.24215074011781,2.88395228080762,2.6343834168363,4.14341243902996,5.41768644092667,4.41698528783423,3.99455794929769,3.27578542634942
PLEKHG5,9.31921659721303,8.27107462100511,9.68352264023546,9.37486503767049,8.09929793054341,8.76617321026772,8.75333945885004,9.12524160813091
NOL9,8.28739274251672,8.27107462100511,8.54812293518936,8.1069286980057,8.7348478079501,7.65875618078852,8.06177268582583,7.52496689031392
ZBTB48,6.41603764871047,6.54742806219934,6.89570081210264,6.87903952878401,6.76188632333603,6.76486810055449,6.26785331008229,7.01902609775615
KLHL21,9.42017525295558,9.18421659906806,9.35478193411076,9.13111273628703,10.0094254921048,9.8650660310348,9.74483203243211,9.34083812457767
LOC107984913,3.31644071025173,3.40225061373854,3.51326251672742,2.52694396631844,4.22574024340741,2.13543390421725,4.50656126841671,3.49369289385452
