"original_id","symbol","mapped"
"148932","MOB3C",TRUE
"64756","ATPAF1",TRUE
"374973","TEX38",TRUE
"100130197","EFCAB14-AS1",TRUE
"9813","EFCAB14",TRUE
"105378698","LOC105378698",TRUE
"6886","TAL1",TRUE
"6491","STIL",TRUE
"51727","CMPK1",TRUE
"102724077","LINC01389",TRUE
"84793","FOXD2-AS1",TRUE
"2306","FOXD2",TRUE
"388630","TRABD2B",TRUE
"200010","SLC5A9",TRUE
"54558","SPATA6",TRUE
"84871","AGBL4",TRUE
"79656","BEND5",TRUE
"1996","ELAVL4",TRUE
"63950","DMRTA2",TRUE
"105378714","LOC105378714",TRUE
"11124","FAF1",TRUE
"105378715","FAF1-AS1",TRUE
"112268262",NA,FALSE
"1031","CDKN2C",TRUE
"26994","RNF11",TRUE
"22996","TTC39A",TRUE
"2060","EPS15",TRUE
"114883","OSBPL9",TRUE
"4898","NRDC",TRUE
"105378721",NA,FALSE
"100313892","MIR761",TRUE
"5865","RAB3B",TRUE
"51060","TXNDC12",TRUE
"112970","KTI12",TRUE
"91408","BTF3L4",TRUE
"9372","ZFYVE9",TRUE
"200014","CC2D1B",TRUE
"4998","ORC1",TRUE
"84950","PRPF38A",TRUE
"23318","TUT4",TRUE
"2882","GPX7",TRUE
"65260","COA7",TRUE
"79699","ZYG11B",TRUE
"55268","ECHDC2",TRUE
"6342","SCP2",TRUE
"1376","CPT2",TRUE
"54987","CZIB",TRUE
"4116","MAGOH",TRUE
"100507564","MAGOH-DT",TRUE
"7804","LRP8",TRUE
"105378728","LOC105378728",TRUE
"105378726","LOC105378726",TRUE
"105378731","LOC105378731",TRUE
"105378730",NA,FALSE
"55706","NDC1",TRUE
"54432","YIPF1",TRUE
"51668","IFT25",TRUE
"115353","LRRC42",TRUE
"9528","TMEM59",TRUE
"127428","TCEANC2",TRUE
"606495","CYB5RL",TRUE
"51253","MRPL37",TRUE
"23648","SSBP3",TRUE
"619518","SSBP3-AS1",TRUE
"100527960","MROH7-TTC4",TRUE
"7268","TTC4",TRUE
"25973","PARS2",TRUE
"163747","CIMAP2",TRUE
"1718","DHCR24",TRUE
"107984958","DHCR24-DT",TRUE
"23358","USP24",TRUE
"100507634","LOC100507634",TRUE
"105378744","LINC01767",TRUE
"8613","PLPP3",TRUE
"5563","PRKAA2",TRUE
"107984960","LOC107984960",TRUE
"115209","OMA1",TRUE
"114803","MYSM1",TRUE
"105378751","LOC105378751",TRUE
"3725","JUN",TRUE
"101926907","LOC101926907",TRUE
"105378753","LINC02777",TRUE
"101926925","LINC01358",TRUE
"729467","HSD52",TRUE
"105378756","FGGY-DT",TRUE
"55277","FGGY",TRUE
"105378763","LINC01748",TRUE
"101926964","LOC101926964",TRUE
"100996570","NFIA-AS2",TRUE
"4774","NFIA",TRUE
"83941","TM2D1",TRUE
"10207","PATJ",TRUE
"7398","USP1",TRUE
"85440","DOCK7",TRUE
"84938","ATG4C",TRUE
"100996301","FOXD3-AS1",TRUE
"29929","ALG6",TRUE
"23421","ITGB3BP",TRUE
"84455","EFCAB7",TRUE
"79469","DLEU2L",TRUE
"5236","PGM1",TRUE
"4919","ROR1",TRUE
"107984966","LOC107984966",TRUE
"57685","CACHD1",TRUE
"55225","RAVER2",TRUE
"3716","JAK1",TRUE
"101927084","LINC01359",TRUE
"100500854","MIR3671",TRUE
"205","AK4",TRUE
"9829","DNAJC6",TRUE
"3953","LEPR",TRUE
"54741","LEPROT",TRUE
"5142","PDE4B",TRUE
"84251","SGIP1",TRUE
"79819","DNAI4",TRUE
"57708","MIER1",TRUE
"23169","SLC35D1",TRUE
"3595","IL12RB2",TRUE
"26135","SERBP1",TRUE
"1647","GADD45A",TRUE
"55970","GNG12",TRUE
"100289178","GNG12-AS1",TRUE
"9077","DIRAS3",TRUE
"79971","WLS",TRUE
"6121","RPE65",TRUE
"55635","DEPDC1",TRUE
"101927220","DEPDC1-AS1",TRUE
"57554","LRRC7",TRUE
"55631","LRRC40",TRUE
"9295","SRSF11",TRUE
"81573","ANKRD13C",TRUE
"11147","ANKRD13C-DT",TRUE
"102724548","LINC03102",TRUE
"1491","CTH",TRUE
"100132618","ZRANB2-AS1",TRUE
"9406","ZRANB2",TRUE
"406962","MIR186",TRUE
"100852410","ZRANB2-DT",TRUE
"105378797","LOC105378797",TRUE
"127255","LRRIQ3",TRUE
"100526835","FPGT-TNNI3K",TRUE
"8790","FPGT",TRUE
"51086","TNNI3K",TRUE
"105378803","LRRC53",TRUE
"127254","ERICH3",TRUE
"1429","CRYZ",TRUE
"127253","TYW3",TRUE
"204962","SLC44A5",TRUE
"34","ACADM",TRUE
"1744","DLSTP1",TRUE
"5876","RABGGTB",TRUE
"692085","SNORD45C",TRUE
"26805","SNORD45A",TRUE
"26804","SNORD45B",TRUE
"81849","ST6GALNAC5",TRUE
"10026","PIGK",TRUE
"26289","AK5",TRUE
"26009","ZZZ3",TRUE
"23032","USP33",TRUE
"374986","MIGA1",TRUE
"91624","NEXN",TRUE
"8880","FUBP1",TRUE
"11080","DNAJB4",TRUE
"10964","IFI44L",TRUE
"10561","IFI44",TRUE
"107985018","LOC107985018",TRUE
"23266","ADGRL2",TRUE
"107985041",NA,FALSE
"79739","TTLL7",TRUE
"5567","PRKACB",TRUE
"107985046",NA,FALSE
"112268230",NA,FALSE
"148418","SAMD13",TRUE
"391051","UOX",TRUE
"80135","RPF1",TRUE
"2787","GNG5",TRUE
"100505741","SPATA1",TRUE
"1486","CTBS",TRUE
"105378819","LOC105378819",TRUE
"103695366","LINC01461",TRUE
"117178","SSX2IP",TRUE
"84144","SYDE2",TRUE
"148423","C1orf52",TRUE
"8915","BCL10",TRUE
"646626","BCL10-AS1",TRUE
"23576","DDAH1",TRUE
"107985054",NA,FALSE
"3491","CCN1",TRUE
"107985057","LOC107985057",TRUE
"54680","ZNHIT6",TRUE
"255631","COL24A1",TRUE
"57489","ODF2L",TRUE
"105378828","CLCA4-AS1",TRUE
"51100","SH3GLB1",TRUE
"9403","SELENOF",TRUE
"9653","HS2ST1",TRUE
"339524","LINC01140",TRUE
"8543","LMO4",TRUE
"105378833","LOC105378833",TRUE
"105378834","LOC105378834",TRUE
"105378839","LOC105378839",TRUE
"101927891","PKN2-AS1",TRUE
"5586","PKN2",TRUE
"2959","GTF2B",TRUE
"56267","KYAT3",TRUE
"494115","RBMXL1",TRUE
"2635","GBP3",TRUE
"105378841","LOC105378841",TRUE
"2633","GBP1",TRUE
"2634","GBP2",TRUE
"112268267","LOC112268267",TRUE
"115361","GBP4",TRUE
"115362","GBP5",TRUE
"23507","LRRC8B",TRUE
"84230","LRRC8C",TRUE
"400761","LRRC8C-DT",TRUE
"55144","LRRC8D",TRUE
"105378847","LOC105378847",TRUE
"492303","GEMIN8P4",TRUE
"284695","ZNF326",TRUE
"343472","BARHL2",TRUE
"84146","ZNF644",TRUE
"164045","HFM1",TRUE
"8317","CDC7",TRUE
"102723436","LOC102723436",TRUE
"7049","TGFBR3",TRUE
"253152","EPHX4",TRUE
"646817","SETSIP",TRUE
"284697","BTBD8",TRUE
"23285",NA,FALSE
"11146","GLMN",TRUE
"79871","RPAP2",TRUE
"2672","GFI1",TRUE
"7813","EVI5",TRUE
"6125","RPL5",TRUE
"388650","DIPK1A",TRUE
"6083","SNORD21",TRUE
"26782","SNORA66",TRUE
"22823","MTF2",TRUE
"50999","TMED5",TRUE
