ID,Description,NES,pval,padj,size,leadingEdge
WP5417,Cell lineage map for neuronal differentiation,1.2168578213003607,0.10738255033557047,0.27394307549110863,100,ADRA2A;UNC13A;PCLO;HOMER1;NLGN1;DCX;RBFOX3;SYP;GABBR2;CDH1;DLG3;HOMER2;GLRA3;MOG;RIMBP2;GLRB;GRIN2B;HES5;GPHN;GABBR1;DLG1;SNAP25;CACNG2;CASK;TWIST2;HTR5A;GRIN1;RIMS2;CD24;FUT4
WP4008,NO cGMP PKG mediated neuroprotection,1.3107969267590278,0.10989010989010989,0.2783086478738653,40,CAMK2B;NPPA;AKAP9;PDE2A;GRIN2A;PRKG2;CAMK2G;NOS2;GRIN2B;ACTN2;CALM1;GRIN1;CAMK2A;NEFL;GUCY1A2;NOS1;CREB1;GUCY1A1;CAMK2D;GUCY1B1
WP5293,Acute myeloid leukemia,-1.2960906990053673,0.1095679012345679,0.2783086478738653,64,TCF7;TCF7L2;PIM1;STAT5A;TCF7L1;RUNX1;STAT3;GLI1;MYC;RELA;SPI1;CD14;FCGR1A;PML;ARAF;EIF4EBP1;JUP;STAT5B;NFKB1;MAPK3
WP474,Endochondral ossification,-1.3083131951990234,0.11128284389489954,0.27880540459689884,51,TGFB2;DDR2;SCIN;SOX9;FGFR1;FGF2;TIMP3;CHST11;THRA;RUNX2;BMPR1A;SERPINH1;BMP7;TGFB1;SPP1;STAT5B;GLI3;ACAN
WP4808,Endochondral ossification with skeletal dysplasias,-1.3083131951990234,0.11128284389489954,0.27880540459689884,51,TGFB2;DDR2;SCIN;SOX9;FGFR1;FGF2;TIMP3;CHST11;THRA;RUNX2;BMPR1A;SERPINH1;BMP7;TGFB1;SPP1;STAT5B;GLI3;ACAN
WP4566,Translation inhibitors in chronically activated PDGFRA cells,1.289783102859075,0.1111111111111111,0.27880540459689884,46,PRKCD;MAP2K6;MAPK8;EIF4G3;RPS6KB1;MAP2K4;MAP2K1;MAPK9;MTOR;PIK3R1;PIK3CB;MAPK1;AKT3;MAPK10;EIF4E;MAP2K7
WP5531,AKT signaling and ARTD family members,1.3077161142056157,0.11170212765957446,0.2788563829787234,33,PIK3C2G;GSK3B;PIK3C2B;MTOR;PIK3R1;PIK3CB;ATM;PIK3CD;AKT3;PIK3R4;RICTOR;TSC1;PDK1
WP3925,Amino acid metabolism,-1.270106097394938,0.11394302848575712,0.283438351998378,74,AOC3;MAOA;CPS1;PDK4;CTH;ALDH7A1;FAH;ADH5;EPRS1;CBS;EHHADH;SDS;GCLM;GPT2;PC;HADH;MMUT;ALDH18A1;GLUD1;GLUL;MPST;SMS;HIBADH;PYCR1;P4HA2;CAD;HIBCH;ACSS1;ACO2;SRM;ARG2;ODC1;HMGCL;OGDH;ACAA1
WP3617,Photodynamic therapy induced NF kB survival signaling,-1.3477705175070225,0.11551155115511551,0.28530944967288246,22,NFKB2;RELA;TNFRSF1A;ICAM1;VCAM1;CFLAR;NFKB1;IL1B
WP5145,COVID 19 structural coverage map,-1.3465629766435154,0.11551155115511551,0.28530944967288246,22,MACROD1;PARP14;PARP9;NRP1;UBB;UBA52;UBC;MACROH2A1
