ID,Description,p.adjust,k,K,enr_ratio,geneID
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,0.01831006772119147,56,148,1.517671517671518,AKR1C2/AKR1C3/ARRB2/C1QTNF12/CCR7/CSF1R/CX3CL1/DCN/DDR1/EGFR/ENG/ERBB3/ERBB4/ERFE/F2RL1/FGFR3/FN1/GATA3/HCLS1/HGF/HPSE/IGFBP5/IL18/IRS2/KDR/KIT/LEP/MERTK/MST1R/NOX4/NRXN1/NTRK1/NTRK2/NTRK3/P2RX4/PDGFA/PDGFB/PDGFD/PDGFRA/PIK3AP1/PIK3R5/PRR5/PRR5L/PTPRJ/RELN/RET/SEMA3E/TCF7L2/TGFB1/TGFBR1/THBS1/TNFSF11/TYRO3/UNC5B/VAV1/VEGFB
GO:0030534,adult behavior,0.01844548661687762,37,88,1.6864385614385615,ARRB2/ATP1A2/ATP6V1B1/BBS2/CACNB4/CDK5/CHL1/CHRNA5/CNTN2/CRHBP/DRD4/EN1/EPHA4/FADD/FOSB/GDNF/GLRB/HOMER2/HOXB8/LEP/NLGN3/NLGN4X/NPC1/NR4A2/NRXN1/NRXN2/NRXN3/NTSR1/PRKN/SHANK2/SLC1A1/SLC1A2/SLC6A4/SLC7A11/SNCG/TMOD1/ZIC1
GO:0006836,neurotransmitter transport,0.01844548661687762,46,116,1.590564607805987,ADORA2A/ATP1A2/CACNB4/CAMK2A/CDK5/DRD4/GDNF/GRIK5/ITGB3/KMO/NLGN1/NOS1/NR4A1/NRXN1/NRXN2/P2RX1/P2RY1/PCLO/PER2/PNKD/PRKN/PRRT2/SLC17A7/SLC18A2/SLC1A1/SLC1A2/SLC1A3/SLC22A3/SLC29A1/SLC6A11/SLC6A16/SLC6A2/SLC6A4/SNAP25/SNCG/STX1A/STX1B/SYN1/SYN2/SYN3/SYP/SYT11/SYT2/UNC13A/UNC13B/VPS18
GO:0060349,bone morphogenesis,0.01885330208381824,33,76,1.7416136495083865,ACP5/ALPL/AXIN2/BMP4/CBS/CHSY1/CSGALNACT1/CYP26B1/DHRS3/EXT1/FGF18/FGFR2/FGFR3/FREM1/GHR/LRP5/LTBP3/MATN1/MMP13/MMP14/MSX2/NPR2/OSR2/RARG/RUNX2/SERPINH1/SMPD3/SOX9/STC1/TFAP2A/TGFB1/TGFB3/TMEM119
GO:0000070,mitotic sister chromatid segregation,0.01989260973596817,43,107,1.611892780117079,AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CDCA5/CDK1/CDT1/CENPE/CENPF/DLGAP5/ESPL1/FLNA/HSPA1B/KAT2B/KIF15/KIF23/KIF2C/KIF4A/KNSTRN/KPNB1/MAD2L1/MAD2L2/MYBL2/NCAPG2/NCAPH/NEK2/NUP62/PLK1/PSRC1/RACGAP1/RAN/RCC1/SMC2/SMC4/TPX2/TRIP13/TTK/TUBG1/UBE2C/UHRF1/USP44
GO:0045953,negative regulation of natural killer cell mediated cytotoxicity,0.02141347717399349,13,21,2.482993197278912,ARRB2/GRB2/HAVCR2/HLA-A/HLA-B/HLA-G/LGALS9/NECTIN2/NECTIN4/PVR/SERPINB9/TGFB1/TIGIT
GO:0060688,regulation of morphogenesis of a branching structure,0.02249605721057849,21,42,2.0054945054945055,AR/BMP4/BMP7/ESR1/FGFR2/GDNF/GREM1/HGF/MAGED1/NTN4/PDGFA/SFRP1/SIX2/SIX4/SNAI2/SOX9/TACSTD2/TGFB1/WNT2/WNT2B/WNT5A
GO:0048546,digestive tract morphogenesis,0.02341164141960344,18,34,2.123464770523594,BCL2/DACT1/EGFR/EPB41L5/FGFR2/GLI1/HIF1A/HLX/NODAL/NPR2/PDGFRA/SFRP1/SFRP5/SIX2/SOX10/TP63/WNT11/WNT5A
GO:0010463,mesenchymal cell proliferation,0.02621901187264595,19,37,2.05969705969706,BMP4/BMP7/CHRD/CTNNBIP1/FGFR2/GPC3/IRS2/KDR/LRP5/NFIB/OSR1/PDGFA/SIX2/SOX9/TBX1/TBX2/WNT11/WNT2/WNT5A
GO:0006024,glycosaminoglycan biosynthetic process,0.02820206589256718,20,40,2.0054945054945055,B3GALT6/CHPF/CHPF2/CHST11/CHST13/CHST15/CHSY1/CHSY3/CSGALNACT1/CYTL1/DSE/EXT1/HS3ST1/HS3ST3A1/HS3ST3B1/PDGFB/SMPD3/TGFB1/UGDH/UST
