ID,Description,p.adjust,k,K,enr_ratio,geneID
GO:0097746,blood vessel diameter maintenance,0.01661464981436957,16,103,2.4569405529853823,ADRA2A/AGT/F2RL1/FGA/FGB/FGG/GCH1/HRH1/HTR1B/HTR1D/KCNMA1/NPPA/NPPB/OXTR/PER2/PTGS2
GO:0006935,chemotaxis,0.01696470000965827,31,267,1.8363790228657133,ANOS1/APOA1/CCL2/CXCL1/CXCL2/CXCL3/CXCL5/CXCL6/DOCK2/ENG/F2RL1/F3/FGF18/FLT1/GAS6/HMGB2/ITGA2/ITGB3/KIT/MET/NTRK3/PDGFA/PERP/PREX1/PTK2B/S100A4/SEMA3E/TNFSF14/VCAM1/WNT3A/WNT7B
GO:1903115,regulation of actin filament-based movement,0.01888729426570919,8,33,3.834316317537794,CTNNA3/DSC2/DSG2/DSP/PKP2/PLN/STC1/TNNC1
GO:0001947,heart looping,0.01888729426570919,10,49,3.22786832853947,APLNR/ENG/HAND1/HAND2/SHH/TBX2/TBX20/TBX3/WNT3A/ZIC3
GO:1900024,regulation of substrate adhesion-dependent cell spreading,0.01942846577074012,9,41,3.4719266655753804,APOA1/FGA/FGB/FGG/GBP1/ITGB3/PKP2/POSTN/PREX1
GO:0007600,sensory perception,0.01951086763146161,28,235,1.884525679470703,ADRA2A/ANO1/AQP1/ATP8B1/BIRC5/CCL2/CDH3/DCDC2/EPAS1/GJA3/GJB2/HOXB8/ITGA2/ITPR3/KIFC3/KIT/LAMC3/MBP/MME/PAX3/PAX6/PTGES/RGS16/SERPINE2/SLC1A3/TFAP2A/THRB/ZIC2
GO:0030195,negative regulation of blood coagulation,0.02145965304012413,8,34,3.721542308198448,CD9/FAP/FGA/FGB/FGG/PDGFA/SERPINE2/VTN
GO:0006942,regulation of striated muscle contraction,0.02145965304012413,12,68,2.7911567311488357,CASQ1/CTNNA3/DSC2/DSG2/DSP/MYL3/NPPA/PKP2/PLN/STC1/TNNI1/TNNI3
GO:0061041,regulation of wound healing,0.0217435177882032,14,87,2.545192728020777,ADRA2A/CD9/CLDN4/F2RL1/F3/FAP/FGA/FGB/FGG/OCLN/PDGFA/SERPINE2/VIL1/VTN
GO:0032526,response to retinoic acid,0.0229076990698714,13,78,2.6360924683072335,AQP1/BRINP1/CYP26A1/GATA6/GJB2/HAND2/PTK2B/TBX2/WNT11/WNT2/WNT3A/WNT6/WNT7B
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,0.0229076990698714,18,128,2.224203020134228,AGT/DCN/ENG/ERBB3/F2RL1/FLT1/GAS6/GATA3/IGF2/KIT/NKX3-1/NRXN1/NTRK3/PDGFA/PIK3AP1/PTK2B/RELN/SEMA3E
GO:0061371,determination of heart left/right asymmetry,0.02333290888315405,10,51,3.1012852568320395,APLNR/ENG/HAND1/HAND2/SHH/TBX2/TBX20/TBX3/WNT3A/ZIC3
GO:0071496,cellular response to external stimulus,0.02714012015542372,11,61,2.8521656214471705,AQP1/ENG/F11R/IRF1/ITGA2/ITGB3/PTGER4/PTGS2/TLR3/TNFSF14/WNT11
GO:0043583,ear development,0.02738000787045355,19,141,2.1313088041632953,ATP8B1/BMP5/CALB1/CCNA2/GABRB2/GATA3/GBX2/GJB2/KCNK3/MCM2/PROX1/SHH/TBX2/TBX3/TCAP/TFAP2A/WNT3A/ZIC1/ZIC3
GO:0010817,regulation of hormone levels,0.02752351431583559,35,326,1.6980963752899356,ADRA2A/AGT/AKR1D1/ALDH1A1/ANO1/AQP1/BMP5/CORIN/CRABP2/CYP1B1/CYP26A1/DIO2/EGR1/F2RL1/FGA/FGB/FGG/FOXA1/GATA3/HNF1B/HNF4A/IL11/ISL1/KLK6/MME/NKX3-1/PER2/PTPRN2/RBP1/SHH/SPINK1/SPP1/SULT1E1/TBX3/TRH
GO:0086004,regulation of cardiac muscle cell contraction,0.02812558806821109,7,28,3.95413870246085,CTNNA3/DSC2/DSG2/DSP/PKP2/PLN/STC1
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,0.02840330028986975,9,44,3.2352043929225136,CCNE2/CDC25C/CDC6/CDKN2B/HHEX/PKMYT1/PLK1/PROX1/PSRC1
GO:0003197,endocardial cushion development,0.02840330028986975,9,44,3.2352043929225136,APLNR/BMP5/ENG/ERBB3/ISL1/TBX2/TBX20/TBX3/TBX5
GO:0008544,epidermis development,0.02840330028986975,24,197,1.9268899260722925,BNC1/CDH3/CLDN4/CRABP2/DSP/FOXQ1/GATA6/GRHL2/IRF6/KRT17/KRT7/LAMB3/LAMC2/MET/PAX6/PDGFA/PITX2/POU3F2/PPARA/PTHLH/SCEL/SFN/SHH/WNT10A
GO:0048562,embryonic organ morphogenesis,0.02887843425485237,23,186,1.955810541002141,APLNR/ENG/GATA3/GBX2/GRHL2/HAND1/HAND2/HNF1B/HOXB8/MFAP5/PAX6/PROX1/RUNX2/SHH/TBX2/TBX20/TBX3/TCAP/TFAP2A/WNT11/WNT3A/ZIC1/ZIC3
GO:0050766,positive regulation of phagocytosis,0.02908978710939225,8,36,3.5147899577429778,APOA1/C3/CCL2/DOCK2/F2RL1/GAS6/ITGA2/PTX3
GO:0050819,negative regulation of coagulation,0.02908978710939225,8,36,3.5147899577429778,CD9/FAP/FGA/FGB/FGG/PDGFA/SERPINE2/VTN
GO:0071385,cellular response to glucocorticoid stimulus,0.03217447897215891,9,45,3.1633109619686803,AQP1/AXIN2/CYP1B1/DDIT4/FBXO32/GJB2/ISL1/STC1/TBX2
