ID,Description,NGenes,Direction,PValue,FDR
WP5355,Metabolic epileptic disorders,78,Down,0.2565545389811092,0.6996044928369478
WP5491,Transcriptional regulation of memory B cell differentiation,39,Up,0.2596882827115429,0.7054367526531949
WP5504,Disorders of mitochondrial homeostatis dynamics protein import and quality control,60,Up,0.261908386280267,0.7063751879479444
WP5537,Psoriasis mechanism and therapies,12,Up,0.26272377393698165,0.7063751879479444
WP2037,Prolactin signaling,72,Up,0.26392322645098065,0.7063751879479444
WP615,Senescence and autophagy in cancer,96,Down,0.26401893484655187,0.7063751879479444
WP4747,Netrin UNC5B signaling,47,Up,0.2669777846853807,0.707632762628509
WP2263,Androgen receptor network in prostate cancer,103,Up,0.2677370431736404,0.707632762628509
WP3599,Transcription factor regulation in adipogenesis,20,Down,0.2684838906994012,0.707632762628509
WP2324,AGE RAGE pathway,61,Down,0.26926758602826467,0.707632762628509
WP4921,Mitochondrial complex III assembly,16,Up,0.26947933132538426,0.707632762628509
WP5501,GNAQ p R183Q drives capillary malformation,24,Down,0.27277125654478374,0.7135355010457882
WP5102,Familial partial lipodystrophy,25,Down,0.27373999475945615,0.7135355010457882
WP3850,Factors and pathways affecting insulin like growth factor IGF1 Akt signaling,34,Down,0.2762422848424329,0.7161976833832363
WP364,IL6 signaling,41,Down,0.2770636821576543,0.7161976833832363
WP4871,Kisspeptin kisspeptin receptor system in the ovary,36,Down,0.2777917671796756,0.7161976833832363
WP623,Oxidative phosphorylation,59,Down,0.2809168677606338,0.7206356900365919
WP2879,Farnesoid X receptor pathway,12,Up,0.28278653503476336,0.7206356900365919
WP4719,Eicosanoid metabolism via cyclooxygenases COX,24,Down,0.28424746517092675,0.7206356900365919
WP5380,5q35 copy number variation,95,Up,0.2843308051226971,0.7206356900365919
WP4549,Fragile X syndrome,114,Down,0.284917392136024,0.7206356900365919
WP4462,Platelet mediated interactions with vascular and circulating cells,14,Up,0.28561160634736577,0.7206356900365919
WP437,EGF EGFR signaling,154,Down,0.2888133912613718,0.7224268581998935
