ID,Description,NES,pval,padj,size,leadingEdge
WP49,IL2 signaling,-0.8878944607471266,0.6244635193133047,0.869832289181008,34,PIK3R1;PTK2B;STAT1;SYK;SOS1;GAB2;MAP2K1;PTPN11;CBL;JAK1;FOXO3;CISH
WP673,ErbB signaling,-0.9270966738879858,0.6308724832214765,0.8716144796102822,86,PIK3R1;CAMK2B;PRKCB;MDM2;ERBB3;CAMK2A;FOXO1;PIK3CA;NRG3;EGF;NCK1;PAK2;BCL2L11;HBEGF;SOS1;CDKN1A;GSK3B
WP5085,Vasopressin regulated water reabsorption,-0.8933315017003375,0.6300211416490487,0.8716144796102822,39,DYNC1I1;CREB3L1;PRKACB;RAB5B;RAB5A;DCTN6;ADCY6;NSF;RAB11A;CREB3L2;DYNC1LI2;STX4
WP4868,Type I interferon induction and signaling during SARS CoV 2 infection,-0.8825500802669455,0.6278118609406953,0.8716144796102822,29,IRAK4;TRAF6;STAT1;IFNAR2;IFNAR1;TBK1;TMPRSS2;IRF7;MAVS;JAK1
WP3645,NAD biosynthetic pathways,0.8815437539216834,0.6286836935166994,0.8716144796102822,20,PARP1;QPRT;NAPRT;SIRT6;BST1;SIRT3;PARP2;SIRT4;SIRT7
WP5033,Genes associated with the development of rheumatoid arthritis,0.8783220813871814,0.6318897637795275,0.8716144796102822,10,PHF19
WP4205,MET in type 1 papillary renal cell carcinoma,-0.9120651897257926,0.6375266524520256,0.8733501882037447,56,MET;PIK3R1;RAP1A;C8orf34;PIK3CA;PAK2;SOS1;CDKN1A;STRN;MAP2K1;PAK6;PTPN11;GAB1;SOS2;CBL;ALK
WP3945,TYROBP causal network in microglia,-0.9093968089933044,0.6380753138075314,0.8733501882037447,47,NPC2;SPP1;ZFP36L2;C3;SLC7A7;HCLS1;RBM47;IL18
WP5485,Post COVID neuroinflammation,0.8773445597697362,0.6375968992248062,0.8733501882037447,14,HMGB1;TLR3
WP4686,Leucine isoleucine and valine metabolism,-0.8735606474498445,0.6350806451612904,0.8733501882037447,24,DBT;ACADSB;ACAD8;DLD;BCAT1;ALDH6A1
WP3599,Transcription factor regulation in adipogenesis,-0.8730098623980521,0.640973630831643,0.8756267904809921,20,CEBPA;FOXO1;LPIN1;INSR;PPARGC1A;SLC2A4;PPARG;TWIST1;MAPK8;IL6;NR3C1
WP5381,Smith Magenis and Potocki Lupski syndrome copy number variation,0.9224545291888179,0.6504504504504505,0.8769342198120565,148,CDK1;CCDC65;TP53;MAP3K14;RAB39B;MED9;COPS3;MPRIP;LIMK1;LLGL1;RMI1;NFKB1;APBB1;CARM1;MYC;COPS6;TFE3;SHMT1;FHOD1;ULK1;TOP3A;PER1;RELA
WP4536,Genes related to primary cilium development based on CRISPR,0.9066212773808365,0.6660550458715596,0.8769342198120565,104,MKS1;DYNC2I2;INPP5E;DYNLT2B;IFT122;TCTN1;FBF1;DYNC2H1;TCTN2;TMEM107;IFT25;CEP20;TMEM216;SCLT1;WDR35;TMEM231;BBS5;CEP83;BBS4;IFT140;CEP192;TTC21B;IFT52;IQCE;CDK20;BBS1;KATNB1;IFT172;CC2D2A;IFT56;IFT27;FUZ;IFT81;IFT88;RABL2B;TULP3
WP4806,EGFR tyrosine kinase inhibitor resistance,-0.9050970589496377,0.6559139784946236,0.8769342198120565,82,MET;GAS6;PIK3R1;PDGFA;PRKCB;ERBB3;VEGFA;PIK3CA;EGF;IGF1;BCL2L11;SOS1;GSK3B
WP2032,Thyroid stimulating hormone TSH signaling,-0.900772106825074,0.6567164179104478,0.8769342198120565,56,PIK3R1;RB1;RAP1A;PLD1;PIK3CA;STAT1;GNAQ;RAP1GAP;MAP2K3
